StudentID;UvAnetID;LastName;MiddleName;FirstName;Email;Gender;Programme
51288818;51288818;Polmens;;Jacclair;jacclair.polmens@student.uva.nl;M;B Econometrie year 3
51471781;51471781;Oehschot;;Ninel;ninel.oehschot@student.uva.nl;F;Bijvak: BSc IK year 1
51317672;51317672;Wuut;van;Dioa;dioa.vanwuut@student.uva.nl;M;B Econometrie year 3
51383767;51383767;Zoukman;;Zoea;zoea.zoukman@student.uva.nl;M;BSc NSJD year 2
51459950;51459950;Schen;;Sani;sani.schen@student.uva.nl;F;Bijvak: BSc IK year 1
51258416;51258416;Lutjenberg;;Rubar;rubar.lutjenberg@student.uva.nl;M;BSc PB year 4
51239307;51239307;Hieters;;Judtor;judtor.hieters@student.uva.nl;M;B Communicatiewetenschap year 3
51271684;51271684;Harnon;;Lauia;lauia.harnon@student.uva.nl;X;B Rechtsgeleerdheid year 4
51290273;51290273;Vaeers;;Abdo;abdo.vaeers@student.uva.nl;M;Bijvak: BSc IK year 1
51342859;51342859;Jonpstra;;Thos;thos.jonpstra@student.uva.nl;F;
51311713;51311713;Outkman;van;Coe;coe.vanoutkman@student.uva.nl;M;BSc PB year 3
51283678;51283678;Reuers;van;Juli;juli.vanreuers@student.uva.nl;F;BSc NSJD year 4, B Franse tc year 2
51303345;51303345;Geudt;;Jadde;jadde.geudt@student.uva.nl;M;B Econometrie year 3
51263058;51263058;Glas;;Rhose;rhose.glas@student.uva.nl;F;BSc NSJD year 4
51220616;51220616;Kluen;;Jermas;jermas.kluen@student.uva.nl;M;B Psychologie year 5
51256245;51256245;Zeeker;;Chese;chese.zeeker@student.uva.nl;X;BSc PB year 4
51264740;51264740;Terammad;;Esre;esre.terammad@student.uva.nl;M;B Econometrie year 4, B Wijsbegeerte year 1
51269378;51269378;Meekel;;Teso;teso.meekel@student.uva.nl;F;BSc PB year 4, BSc KI year 1
51290477;51290477;Vreeman;de;Mams;mams.devreeman@student.uva.nl;M;B Econometrie year 3
51202447;51202447;Geudjes;;Muson;muson.geudjes@student.uva.nl;M;BSc PB year 3
51342496;51342496;Siedjes;;Evara;evara.siedjes@student.uva.nl;M;
51279857;51279857;Geun;de;Aleta;aleta.degeun@student.uva.nl;F;BSc BG year 4 (BG-NB)
51274866;51274866;Vrek;;Abda;abda.vrek@student.uva.nl;M;BSc SKJD year 4
51283327;51283327;Knoltman;El;Laust;laust.elknoltman@student.uva.nl;M;B Rechtsgeleerdheid year 4
51186879;51186879;Geiart;;Huganne;huganne.geiart@student.uva.nl;F;BSc SKJD year 4
51323190;51323190;Sten;;Sino;sino.sten@student.uva.nl;M;B Econometrie year 3
51123297;51123297;Komltman;;Guiy;guiy.komltman@student.uva.nl;M;BSc B year 6, B Politicologie year 4
51311410;51311410;Soljmohun;;Eliper;eliper.soljmohun@student.uva.nl;F;BSc BMW year 3
51332431;51332431;Dijammad;;Jooia;jooia.dijammad@student.uva.nl;F;B Wijsbegeerte year 3
